,date,inflation
244,1988-06-01,3.3539276257722834
245,1988-07-01,4.481546572934969
246,1988-08-01,4.925241864555856
247,1988-09-01,5.184534270650256
248,1988-10-01,5.253940455341506
249,1988-11-01,5.161854768153986
250,1988-12-01,5.074365704286961
251,1989-01-01,5.487804878048778
252,1989-02-01,5.963699222126193
253,1989-03-01,6.30397236614853
254,1989-04-01,6.293103448275859
255,1989-05-01,6.512425021422458
256,1989-06-01,6.2339880444065
257,1989-07-01,5.612244897959191
258,1989-08-01,5.21885521885521
259,1989-09-01,4.857621440536023
260,1989-10-01,4.995836802664447
261,1989-11-01,5.403158769742311
262,1989-12-01,5.4908485856905225
263,1990-01-01,6.633499170812604
264,1990-02-01,6.721311475409839
265,1990-03-01,6.438467807660955
266,1990-04-01,5.6772100567721
267,1990-05-01,5.161290322580638
268,1990-06-01,5.453087409783467
269,1990-07-01,5.604483586869495
270,1990-08-01,5.661881977671446
271,1990-09-01,5.652866242038213
272,1990-10-01,5.639396346306599
273,1990-11-01,5.542359461599355
274,1990-12-01,5.2880820836621965
275,1991-01-01,4.638364779874219
276,1991-02-01,3.923076923076919
277,1991-03-01,3.8961038961039134
278,1991-04-01,4.725609756097553
279,1991-05-01,4.732824427480929
280,1991-06-01,4.576659038901602
281,1991-07-01,3.5687167805618745
282,1991-08-01,2.9456193353474363
283,1991-09-01,2.7882441597588463
284,1991-10-01,2.3308270676691687
285,1991-11-01,2.398800599700163
286,1991-12-01,2.5430067314884113
287,1992-01-01,1.4936519790888723
288,1992-02-01,1.5452538631346535
289,1992-03-01,1.8382352941176472
290,1992-04-01,1.1738811445341324
291,1992-05-01,0.728862973760933
292,1992-06-01,0.4369992716678971
293,1992-07-01,0.7262164124909223
294,1992-08-01,1.6046681254558843
295,1992-09-01,1.9033674963396945
296,1992-10-01,1.9751280175566852
297,1992-11-01,1.6117216117216033
298,1992-12-01,1.6070124178232201
299,1993-01-01,1.8936635105608113
300,1993-02-01,1.8854242204495968
301,1993-03-01,1.5206372194062232
302,1993-04-01,1.8731988472622436
303,1993-05-01,2.521613832853026
304,1993-06-01,2.02458423716557
305,1993-07-01,2.1691973969631237
306,1993-08-01,1.9551049963794271
307,1993-09-01,1.8011527377521614
308,1993-10-01,2.2254127781766133
309,1993-11-01,2.514367816091954
310,1993-12-01,2.731847591660684
311,1994-01-01,2.7240143369175707
312,1994-02-01,2.0640569395017834
313,1994-03-01,2.1321961620469088
314,1994-04-01,1.8452803406671356
315,1994-05-01,1.6265912305516144
316,1994-06-01,2.186177715091674
317,1994-07-01,2.622253720765427
318,1994-08-01,2.693125442948272
319,1994-09-01,2.685512367491154
320,1994-10-01,2.3272214386459678
321,1994-11-01,2.319044272663395
322,1994-12-01,2.7349228611500545
323,1995-01-01,2.512212142358684
324,1995-02-01,2.9106029106029223
325,1995-03-01,2.785515320334262
326,1995-04-01,3.4051424600417
327,1995-05-01,3.1944444444444406
328,1995-06-01,2.9146426092991096
329,1995-07-01,2.6352288488210704
330,1995-08-01,2.486187845303863
331,1995-09-01,2.615278733654516
332,1995-10-01,2.8846153846153966
333,1995-11-01,2.6785714285714324
334,1995-12-01,2.12474297464018
335,1996-01-01,2.377717391304348
336,1996-02-01,2.366463826910074
337,1996-03-01,2.841677943166433
338,1996-04-01,2.569303583502355
339,1996-05-01,2.5520483546004105
340,1996-06-01,3.1607262945527834
341,1996-07-01,3.3692722371967654
342,1996-08-01,3.5666218034993156
343,1996-09-01,3.760913364674274
344,1996-10-01,4.016064257028113
345,1996-11-01,4.272363150867808
346,1996-12-01,4.205607476635502
347,1997-01-01,3.6593479707252157
348,1997-02-01,3.6988110964332854
349,1997-03-01,3.304692663582286
350,1997-04-01,2.8928336620644353
351,1997-05-01,3.012442698100848
352,1997-06-01,2.622950819672131
353,1997-07-01,2.5473546701502325
354,1997-08-01,2.539062500000004
355,1997-09-01,2.204928664072637
356,1997-10-01,1.870967741935469
357,1997-11-01,1.7329910141206784
358,1997-12-01,1.6005121638924455
359,1998-01-01,2.1711366538952785
360,1998-02-01,1.8483110261312976
361,1998-03-01,1.9120458891013385
362,1998-04-01,1.973265436028004
363,1998-05-01,2.2915340547421987
364,1998-06-01,2.2278803309993633
365,1998-07-01,2.164226607256528
366,1998-08-01,2.0952380952381024
367,1998-09-01,1.9607843137254868
368,1998-10-01,2.3358585858585963
369,1998-11-01,2.268431001890356
370,1998-12-01,2.2655758338577683
371,1999-01-01,2.2627278441231895
372,1999-02-01,2.495321272613849
373,1999-03-01,2.2528160200250276
374,1999-04-01,2.3110555902561005
375,1999-05-01,2.184769038701623
376,1999-06-01,2.177971375233354
377,1999-07-01,2.0547945205479348
378,1999-08-01,2.0509633312616424
379,1999-09-01,2.230483271375461
380,1999-10-01,1.919504643962845
381,1999-11-01,1.9704433497536877
382,1999-12-01,1.9692307692307798
383,2000-01-01,1.6594960049170184
384,2000-02-01,1.8303843807199511
385,2000-03-01,2.075702075702079
386,2000-04-01,2.015882712278548
387,2000-05-01,2.196461256863955
388,2000-06-01,2.314250913520105
389,2000-07-01,2.7422303473491776
390,2000-08-01,2.7405602923264314
391,2000-09-01,2.610807528840323
392,2000-10-01,2.4833434282253144
393,2000-11-01,2.2960725075528767
394,2000-12-01,2.776101388050691
395,2001-01-01,2.893309222423153
396,2001-02-01,3.0012004801920766
397,2001-03-01,3.0575539568345285
